koi_prad,koi_period,koi_steff,koi_srad,koi_depth,koi_duration,koi_model_snr,koi_disposition
1.43,7.64970832,5855.0,1.613,55.4,6.625,28.5,CANDIDATE
0.81,5.2439542,4920.0,0.691,143.8,9.82,14.2,FALSE POSITIVE
30.11,10.064687893,5185.0,0.705,10088.0,3.59854,585.4,FALSE POSITIVE
32.16,41.88970036,5952.0,0.907,1304.4,1.35,20.9,CANDIDATE
2.3,180.921729,5818.0,0.848,742.4,8.99,16.2,CANDIDATE
1.37,1.085229874,5713.0,0.851,238.1,0.652,7.6,FALSE POSITIVE
1.87,13.15140223,6154.0,1.636,97.8,5.439,25.5,CONFIRMED
12.86,3.479425638,5907.0,0.878,19550.0,3.4479,123.3,CANDIDATE
2.55,81.3153052,5325.0,0.975,715.5,5.807,20.7,CONFIRMED
0.74,31.5322987,5183.0,0.739,106.4,3.49,7.8,CANDIDATE
0.86,5.32784157,5638.0,0.928,87.2,4.696,15.9,CONFIRMED
2.55,15.65563866,5185.0,0.837,955.9,3.9305,53.2,CONFIRMED
1.2,2.54031121,5778.0,0.911,173.3,1.83,10.1,CANDIDATE
1.3,1.400755743,5487.0,1.072,144.4,1.0562,19.8,CANDIDATE
2.12,5.25419589,6123.0,0.987,461.8,2.9878,26.1,CANDIDATE
1.62,3.553831111,6015.0,1.081,191.8,3.1029,77.4,CONFIRMED
7.86,266.977677,6619.0,3.41,389.6,8.59,16.0,FALSE POSITIVE
10.66,7.388833611,5845.0,0.838,13064.0,5.62857,1509.3,FALSE POSITIVE
40.88,519.80221867,5310.0,1.03,77183.0,14.9678,2502.9,FALSE POSITIVE
48.81,1.540396094,5780.0,1.0,55123.0,2.8044,340.4,FALSE POSITIVE
4.92,279.21957,5159.0,2.604,333.5,10.015,10.5,CANDIDATE
1.61,16.33269981,5208.0,0.772,300.4,2.174,17.5,CONFIRMED
1.84,13.1829329,5382.0,0.827,518.0,3.594,13.8,CONFIRMED
1.36,3.568099612,6007.0,1.334,98.4,3.2131,52.5,CONFIRMED
1.87,3.886655224,5662.0,0.738,581.6,3.1646,48.1,CANDIDATE
1.0,5.188563677,3980.0,0.54,358.7,2.3683,56.4,CONFIRMED
2.4,3.47021401,4922.0,0.744,1105.2,2.289,8.3,FALSE POSITIVE
1.59,131.258668,6443.0,1.248,153.0,4.89,8.5,FALSE POSITIVE
123.02,8.098754149,6328.0,1.45,56616.0,5.62354,5402.0,FALSE POSITIVE
4.53,1.50635409,5714.0,0.831,2211.7,1.5155,181.1,FALSE POSITIVE
3.2,538.4263,5962.0,2.028,242.0,12.751,16.2,FALSE POSITIVE
0.96,4.57797412,5795.0,0.848,125.4,2.862,9.6,CANDIDATE
0.6,2.229326354,5587.0,0.865,49.1,1.9946,24.6,CANDIDATE
63.06,2.302365255,5948.0,1.229,62160.0,23.88,468.4,FALSE POSITIVE
1.39,6.98800953,5353.0,1.023,193.2,3.103,17.1,CONFIRMED
1.19,3.47143963,6341.0,1.111,99.8,3.663,27.5,FALSE POSITIVE
2.25,7.203855862,3834.0,0.539,1765.9,2.5418,101.1,CONFIRMED
1.78,10.72900793,5375.0,0.876,404.3,0.696,10.1,CANDIDATE
2.77,4.13443512,6046.0,0.972,686.0,3.1402,40.2,CONFIRMED
7.54,0.531106622,4978.0,0.762,5133.6,3.0293,286.2,FALSE POSITIVE
1.98,482.62011,6315.0,1.095,324.0,12.86,8.1,CANDIDATE
0.79,3.07365139,6068.0,0.831,90.5,2.102,9.6,CANDIDATE
2.75,163.692336,4999.0,0.843,1138.0,6.853,21.0,CONFIRMED
2.47,13.71218522,5550.0,0.831,786.7,2.437,22.6,CONFIRMED
28.97,0.698359996,5761.0,0.956,774.1,1.4959,26.1,FALSE POSITIVE
0.48,2.2165905,5397.0,0.831,28.7,1.0,2.8,CANDIDATE
325.51,0.905677864,5037.0,7.553,3670.4,2.2432,107.4,FALSE POSITIVE
1.71,34.0963441,5320.0,0.786,472.7,3.896,21.5,CONFIRMED
1.22,33.8938177,5818.0,0.848,205.1,2.012,6.8,FALSE POSITIVE
1.81,11.1895709,6188.0,1.465,143.3,5.3,19.9,CONFIRMED
1.83,28.59914031,3755.0,0.461,1585.1,3.6567,53.8,CONFIRMED
41.71,120.58167178,5294.0,0.673,192900.0,8.2904,1184.8,FALSE POSITIVE
2.27,393.95608,6217.0,0.989,482.2,13.89,10.3,CANDIDATE
1.87,28.46464804,3789.0,0.46,1629.8,2.6657,28.9,CONFIRMED
1.23,4.03357434,5575.0,1.308,66.2,5.886,15.5,CANDIDATE
69.23,3.867613816,5780.0,1.046,340910.0,5.36467,1379.1,FALSE POSITIVE
1.82,14.5168151,5934.0,1.885,86.0,5.796,11.7,CANDIDATE
1.78,2.399069173,5654.0,1.001,286.6,3.2576,37.8,FALSE POSITIVE
54.36,1.429439352,6491.0,1.371,3367.1,2.424,292.0,FALSE POSITIVE
4.3,15.43400996,5900.0,0.951,1785.9,4.2572,59.7,CANDIDATE
0.79,4.45743267,4487.0,0.612,175.7,2.3226,20.8,CONFIRMED
1.26,2.543063763,5579.0,1.029,152.0,2.8473,26.5,CONFIRMED
1.54,54.0812235,5757.0,0.762,411.1,6.279,11.6,CANDIDATE
1.39,7.63008196,6038.0,1.191,124.0,2.78,18.6,CONFIRMED
26.67,0.741057213,5496.0,0.776,1996.3,1.05299,251.9,FALSE POSITIVE
2.3,383.61248,6011.0,0.902,619.3,12.263,10.2,FALSE POSITIVE
2.25,0.542498653,8711.0,2.954,54.9,4.257,19.8,FALSE POSITIVE
1.18,8.4795266,5841.0,0.931,163.3,6.052,8.0,CANDIDATE
0.43,0.93377253,5595.0,0.796,30.0,2.544,8.4,FALSE POSITIVE
2.28,0.534109403,10747.0,2.432,78.3,0.9513,37.0,FALSE POSITIVE
1.29,22.8030252,6063.0,1.613,62.9,4.768,20.4,CONFIRMED
2.68,372.37369,6109.0,1.029,666.1,12.33,15.6,FALSE POSITIVE
52.16,394.67816267,5780.0,0.83,253380.0,6.05443,1500.7,CANDIDATE
2.67,40.606895,5538.0,1.027,657.5,5.756,36.3,CONFIRMED
75.54,1.195516859,5780.0,1.0,513810.0,6.17216,1153.4,FALSE POSITIVE
1.83,18.01164974,6477.0,1.459,107.8,6.7367,60.8,CANDIDATE
1.58,24.8434837,5670.0,1.022,217.4,4.8,14.2,FALSE POSITIVE
26.06,6.810823723,7226.0,2.079,14447.0,7.98574,1441.9,CANDIDATE
53.1,91.05641908,6142.0,1.046,57608.0,6.7282,701.1,FALSE POSITIVE
3.86,20.5736113,5440.0,4.524,76.0,11.222,12.3,FALSE POSITIVE
6.85,85.5692223,5361.0,1.951,539.2,4.954,18.2,FALSE POSITIVE
1.95,6.99130452,4847.0,0.761,555.4,2.1568,36.3,CONFIRMED
1.72,0.341842017,5016.0,0.747,285.6,1.1554,70.1,CONFIRMED
2.96,4.807103254,5534.0,1.08,450.5,0.9393,32.9,CONFIRMED
